,1st Road Class & No,Road Surface,Lighting Conditions,Weather Conditions,Type of Vehicle,Casualty Severity
1140,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1141,A658,Dry,Daylight: Street lights present,Fine without high winds,Pedal cyclePedal cycle,Slight
1142,A6110,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Slight
1143,A6110,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1144,A6110,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1145,U,Wet/Damp,Daylight: Street lights present,Fine without high winds,Pedal cycle,Slight
1146,A58,Wet/Damp,Daylight: Street lights present,Raining without high winds,Car,Slight
1147,U,Wet/Damp,Darkness: Street lights present but unlit,Raining without high winds,Car,Slight
1148,M1,Wet/Damp,Daylight: Street lights present,Raining without high winds,Car,Slight
1149,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Slight
1150,A1(M),Wet/Damp,Darkness: No street lighting,Raining without high winds,Car,Slight
1151,U,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
1152,U,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Serious
1153,A653,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycleCar,Slight
1154,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Pedal cyclePedal cycle,Slight
1155,M1,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1156,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycleCar,Slight
1157,U,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle Motorcycle over 500cc0cc and under0,Slight
1158,A653,Dry,Darkness: Street lighting unknown,Fine without high winds,Pedal cycle,Slight
1159,A6120,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
1160,B6154,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
1161,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Motorcycle over 500cc,Serious
1162,U,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle Motorcycle over 500cc0cc to 12Motorcycle over 500cccc,Slight
1163,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1164,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Serious
1165,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1166,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cyclePedal cycle,Slight
1167,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1168,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1169,A64,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1170,U,Wet/Damp,Daylight: Street lights present,Fine without high winds,Pedal cycle,Slight
1171,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Slight
1172,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Slight
1173,A660,Wet/Damp,Darkness: No street lighting,Fine without high winds,Car,Serious
1174,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Slight
1175,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycleCar,Slight
1176,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
1177,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
1178,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
1179,U,Wet/Damp,Daylight: Street lights present,Fine without high winds,Pedal cycle,Slight
1180,U,Wet/Damp,Daylight: Street lights present,Fine without high winds,Motorcycle Motorcycle over 500cc0cc to 12Motorcycle over 500cccc,Serious
1181,A660,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Car,Serious
1182,A6120,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Car,Serious
1183,U,Wet/Damp,Darkness: No street lighting,Fine without high winds,Car,Slight
1184,A653,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
1185,B6159,Dry,Darkness: Street lights present and lit,Fine without high winds,Taxi/Private hire car,Slight
1186,B6159,Dry,Darkness: Street lights present and lit,Fine without high winds,Taxi/Private hire car,Slight
1187,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Serious
1188,A643,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Serious
1189,M621,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1190,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
1191,U,Dry,Daylight: Street lights present,Fine without high winds,Taxi/Private hire car,Slight
1192,A653,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
1193,A653,Dry,Darkness: Street lighting unknown,Fine without high winds,Pedal cycleCar,Slight
1194,A653,Dry,Darkness: Street lighting unknown,Fine without high winds,Pedal cycleCar,Slight
1195,A656,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
1196,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Pedal cycle,Slight
1197,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1198,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Pedal cyclePedal cycle,Slight
1199,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1200,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1201,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1202,A6120,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
1203,A6120,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
1204,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1205,A6120,Wet/Damp,Darkness: Street lighting unknown,Raining without high winds,Pedal cycleCar,Slight
1206,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
1207,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
1208,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
1209,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
1210,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
1211,U,Wet/Damp,Daylight: Street lights present,Raining without high winds,Pedal cyclePedal cycle,Slight
1212,U,Dry,Daylight: Street lights present,Fine without high winds,Taxi/Private hire car,Serious
1213,A653,Dry,Darkness: Street lighting unknown,Fine without high winds,Motorcycle 12Motorcycle over 500cccc to Motorcycle over 500cc00cc,Slight
1214,A643,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
1215,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cyclePedal cycle,Slight
1216,A63,Dry,Darkness: Street lighting unknown,Fine without high winds,Motorcycle over 500cc,Slight
1217,U,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Slight
1218,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
1219,A6120,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
1220,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Taxi/Private hire car,Slight
1221,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Serious
1222,U,Dry,Daylight: Street lights present,Raining without high winds,Taxi/Private hire car,Slight
1223,A63,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1224,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car0,Slight
1225,A58,Dry,Darkness: Street lighting unknown,Fine without high winds,Pedal cycle,Slight
1226,U,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle Motorcycle over 500cc0cc to 12Motorcycle over 500cccc,Slight
1227,U,Wet/Damp,Darkness: Street lighting unknown,Fine without high winds,Pedal cycle,Slight
1228,A647,Wet/Damp,Darkness: Street lighting unknown,Raining without high winds,Car,Slight
1229,A647,Wet/Damp,Darkness: Street lighting unknown,Raining without high winds,Car,Serious
1230,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Serious
1231,A61,Wet/Damp,Daylight: Street lights present,Raining without high winds,Pedal cycleCar,Slight
1232,M621,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycleCar,Slight
1233,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Pedal cycle,Slight
1234,B6159,Dry,Darkness: Street lighting unknown,Fine without high winds,Car0,Slight
1235,A62,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
1236,A62,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
1237,A62,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
1238,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Pedal cycle,Slight
1239,B6157,Wet/Damp,Daylight: Street lights present,Raining without high winds,Motorcycle over 500cc,Slight
1240,A653,Wet/Damp,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
1241,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1242,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycleCar,Slight
1243,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycleCar,Slight
1244,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1245,A643,Dry,Daylight: Street lights present,Fine without high winds,Car,Serious
1246,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Serious
1247,A58,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Serious
1248,A65,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1249,A58,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
1250,A58,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
1251,A650,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
1252,A650,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Serious
1253,A650,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
1254,A61,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
1255,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
1256,A58,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Slight
1257,A660,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Serious
1258,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1259,M1,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle Motorcycle over 500cc0cc and underPedal cycle,Serious
1260,A64,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Slight
1261,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1262,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1263,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
1264,A6120,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
1265,M621,Dry,Darkness: Street lighting unknown,Fine without high winds,Pedal cycleCar,Slight
1266,M621,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
1267,A6120,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1268,A58(M),Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1269,A657,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1270,A6120,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1271,A6120,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1272,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cyclePedal cycle,Slight
1273,U,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle Motorcycle over 500cc0cc to 12Motorcycle over 500cccc,Slight
1274,U,Wet/Damp,Darkness: Street lighting unknown,Raining without high winds,Car,Slight
1275,U,Wet/Damp,Darkness: Street lighting unknown,Raining without high winds,Car,Slight
1276,U,Wet/Damp,Darkness: Street lighting unknown,Raining without high winds,Car,Slight
1277,M621,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1278,A660,Dry,Daylight: Street lights present,Fine without high winds,Pedal cyclePedal cycle,Slight
1279,A6120,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1280,A659,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle over 500cc,Slight
1281,A642,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Slight
1282,A658,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle 12Motorcycle over 500cccc to Motorcycle over 500cc00cc,Slight
1283,B6154,Dry,Darkness: Street lights present and lit,Fine without high winds,Pedal cycle,Slight
1284,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Motorcycle Motorcycle over 500cc0cc to 12Motorcycle over 500cccc,Serious
1285,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Serious
1286,A64,Dry,Darkness: Street lighting unknown,Fine without high winds,Pedal cycle,Slight
1287,M62,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
1288,M62,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Motorcycle Motorcycle over 500cc0cc and underPedal cycle,Slight
1289,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycleCar,Slight
1290,A65,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Serious
1291,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Pedal cycle,Serious
1292,U,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle over 500cc,Serious
1293,A6038,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle Motorcycle over 500cc0cc to 12Motorcycle over 500cccc,Slight
1294,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Motorcycle 12Motorcycle over 500cccc to Motorcycle over 500cc00cc,Slight
1295,A65,Dry,Darkness: Street lighting unknown,Fine without high winds,Pedal cycle,Serious
1296,B6157,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
1297,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Pedal cycle,Slight
1298,A650,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1299,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1300,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1301,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Motorcycle Motorcycle over 500cc0cc to 12Motorcycle over 500cccc,Serious
1302,A653,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Slight
1303,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1304,U,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Slight
1305,U,Dry,Daylight: Street lights present,Other,Motorcycle over 500cc,Slight
1306,M62,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1307,A1(M),Dry,Daylight: Street lights present,Fine without high winds,Motorcycle over 500cc,Slight
1308,U,Dry,Daylight: Street lights present,Fine without high winds,Taxi/Private hire car,Slight
1309,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Serious
1310,A650,Dry,Daylight: Street lights present,Fine with high winds,Car,Slight
1311,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1312,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1313,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1314,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1315,A639,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1316,A639,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1317,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
1318,M62,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle Motorcycle over 500cc0cc and underPedal cycle,Slight
1319,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
1320,A58(M),Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Car,Serious
1321,A62,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
1322,U,Dry,Daylight: Street lights present,Fine without high winds,Car0,Slight
1323,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1324,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
1325,U,Wet/Damp,Daylight: Street lights present,Raining with high winds,Car,Slight
1326,A6120,Dry,Daylight: Street lights present,Fine without high winds,Pedal cyclePedal cycle,Slight
1327,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cyclePedal cycle,Slight
1328,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Serious
1329,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
1330,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Motorcycle Motorcycle over 500cc0cc and under0,Serious
1331,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Motorcycle Motorcycle over 500cc0cc to 12Motorcycle over 500cccc,Serious
1332,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Slight
1333,A1(M),Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1334,A64,Dry,Darkness: Street lighting unknown,Fine without high winds,Motorcycle over 500cc,Serious
1335,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
1336,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1337,U,Dry,Daylight: Street lights present,Fine without high winds,Car7,Slight
1338,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
1339,B6128,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Slight
1340,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1341,A1(M),Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1342,A1(M),Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1343,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Slight
1344,B6164,Dry,Darkness: Street lights present and lit,Fine without high winds,Taxi/Private hire car,Slight
1345,A62,Dry,Darkness: Street lighting unknown,Fine without high winds,Motorcycle over 500cc,Serious
1346,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
1347,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1348,M621,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1349,M621,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1350,M621,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1351,A58(M),Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
1352,A58(M),Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
1353,A58(M),Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
1354,A657,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
1355,B6157,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1356,B6157,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1357,A1(M),Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1358,A1(M),Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1359,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cyclePedal cycle,Slight
1360,A660,Dry,Darkness: Street lighting unknown,Fine without high winds,Motorcycle Motorcycle over 500cc0cc and under,Slight
1361,A61,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1362,A61,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1363,A6038,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Slight
1364,A61,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Slight
1365,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1366,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1367,A58,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
1368,A58,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
1369,M1,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
1370,A642,Dry,Darkness: Street lighting unknown,Fine without high winds,Motorcycle Motorcycle over 500cc0cc and under0,Slight
1371,A6120,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1372,A6120,Dry,Daylight: Street lights present,Fine without high winds,Car,Serious
1373,A653,Dry,Darkness: Street lighting unknown,Fine without high winds,Motorcycle over 500cc,Slight
1374,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
1375,A61,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1376,A61,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1377,A61,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1378,A58,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1379,A58,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Serious
1380,A58,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
1381,A58,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
1382,A58,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
1383,A58,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
1384,U,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
1385,U,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
1386,A63,Wet/Damp,Darkness: Street lighting unknown,Fine without high winds,Pedal cycle,Slight
1387,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1388,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1389,U,Dry,Daylight: Street lights present,Fine without high winds,Car0,Slight
1390,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycleCar,Slight
1391,U,Wet/Damp,Daylight: Street lights present,Raining without high winds,Pedal cycle,Slight
1392,M1,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1393,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Pedal cycle,Slight
1394,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
1395,U,Wet/Damp,Daylight: Street lights present,Raining without high winds,Car,Slight
1396,A6110,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1397,A63,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Slight
1398,A643,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1399,A639,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle Motorcycle over 500cc0cc to 12Motorcycle over 500cccc,Serious
1400,U,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle Motorcycle over 500cc0cc to 12Motorcycle over 500cccc,Slight
1401,A6120,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle Motorcycle over 500cc0cc to 12Motorcycle over 500cccc,Serious
1402,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1403,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1404,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
1405,A642,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
1406,M621,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
1407,M621,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Taxi/Private hire car,Slight
1408,U,Wet/Damp,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
1409,A643,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Serious
1410,A643,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Slight
1411,A643,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Slight
1412,M621,Wet/Damp,Daylight: Street lights present,Raining without high winds,Car,Serious
1413,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1414,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1415,A61,Wet/Damp,Daylight: Street lights present,Raining without high winds,Motorcycle over 500cc,Slight
1416,A647,Dry,Darkness: Street lighting unknown,Fine without high winds,Pedal cycle,Slight
1417,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
1418,A65,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
1419,A65,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
1420,A65,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
1421,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1422,U,Wet/Damp,Darkness: Street lighting unknown,Fine without high winds,Car,Serious
1423,M1,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Car,Slight
1424,A658,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1425,A658,Dry,Daylight: Street lights present,Fine without high winds,Taxi/Private hire car,Slight
1426,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cyclePedal cycle,Slight
1427,A65,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Slight
1428,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Pedal cycle,Slight
1429,B6157,Dry,Darkness: Street lighting unknown,Fine without high winds,Pedal cycle,Slight
1430,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Slight
1431,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Serious
1432,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cyclePedal cycle,Serious
1433,U,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle Motorcycle over 500cc0cc to 12Motorcycle over 500cccc,Serious
1434,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Slight
1435,M1,Wet/Damp,Darkness: Street lighting unknown,Raining without high winds,Car,Slight
1436,B6159,Dry,Darkness: Street lighting unknown,Fine without high winds,Pedal cycle,Serious
1437,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Pedal cyclePedal cycle,Slight
1438,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Slight
1439,A6110,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Slight
1440,B6135,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Serious
1441,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1442,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1443,A660,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1444,M1,Dry,Darkness: Street lighting unknown,Fine without high winds,Motorcycle Motorcycle over 500cc0cc and underPedal cycle,Slight
1445,M1,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
1446,A58,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Serious
1447,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1448,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1449,U,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle Motorcycle over 500cc0cc to 12Motorcycle over 500cccc,Serious
1450,U,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle Motorcycle over 500cc0cc to 12Motorcycle over 500cccc,Serious
1451,U,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle Motorcycle over 500cc0cc to 12Motorcycle over 500cccc,Serious
1452,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1453,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
1454,U,Wet/Damp,Darkness: Street lighting unknown,Fine without high winds,Pedal cycle,Slight
1455,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1456,A656,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1457,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
1458,U,Wet/Damp,Daylight: Street lights present,Raining without high winds,Car,Serious
1459,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Motorcycle Motorcycle over 500cc0cc and underMotorcycle Motorcycle over 500cc0cc and under,Slight
1460,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cyclePedal cycle,Slight
1461,A64,Dry,Darkness: Street lighting unknown,Fine without high winds,Motorcycle 12Motorcycle over 500cccc to Motorcycle over 500cc00cc,Slight
1462,U,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
1463,U,Dry,Daylight: Street lights present,Fine without high winds,Taxi/Private hire car,Slight
1464,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
1465,U,Wet/Damp,Daylight: Street lights present,Fine without high winds,Motorcycle Motorcycle over 500cc0cc to 12Motorcycle over 500cccc,Slight
1466,U,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Pedal cycle,Serious
1467,C,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
