,1st Road Class & No,Road Surface,Lighting Conditions,Weather Conditions,Type of Vehicle,Casualty Severity
106,A653,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Serious
107,A653,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
108,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Pedal cycle,Slight
109,A63,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
110,A63,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
111,U,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
112,A660,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Motorcycle Motorcycle over 500cc0cc to 12Motorcycle over 500cccc,Serious
113,A639,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle Motorcycle over 500cc0cc to 12Motorcycle over 500cccc,Serious
114,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
115,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
116,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
117,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Slight
118,A650,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
119,M62,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
120,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Serious
121,A650,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
122,A650,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
123,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Pedal cycle,Slight
124,A58(M),Wet/Damp,Darkness: Street lighting unknown,Fine without high winds,Taxi/Private hire car,Slight
125,A58(M),Wet/Damp,Darkness: Street lighting unknown,Fine without high winds,Taxi/Private hire car,Slight
126,A58(M),Wet/Damp,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
127,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
128,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
129,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Pedal cycle,Slight
130,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
131,A658,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Slight
132,A658,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Slight
133,A658,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Slight
134,A61,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycleCar,Slight
135,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Slight
136,M62,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
137,U,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Slight
138,U,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Slight
139,U,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Slight
140,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
141,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Pedal cycle,Slight
142,A58,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
143,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Serious
144,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Slight
145,A65,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle Motorcycle over 500cc0cc to 12Motorcycle over 500cccc,Slight
146,U,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
147,U,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
148,U,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
149,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
150,A660,Dry,Darkness: Street lighting unknown,Fine without high winds,Pedal cycle,Slight
151,U,Wet/Damp,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
152,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
153,A65,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Slight
154,M621,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Slight
155,U,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Motorcycle Motorcycle over 500cc0cc to 12Motorcycle over 500cccc,Slight
156,U,Frost/Ice,Darkness: Street lights present and lit,Fine without high winds,Car,Serious
157,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Serious
158,A653,Wet/Damp,Daylight: Street lights present,Fine without high winds,Motorcycle Motorcycle over 500cc0cc to 12Motorcycle over 500cccc,Slight
159,M621,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
160,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
161,A654,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Serious
162,A660,Dry,Darkness: Street lighting unknown,Fine without high winds,Pedal cycle,Slight
163,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycleCar,Serious
164,A650,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
165,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Pedal cycle,Slight
166,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
167,M621,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
168,M621,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle Motorcycle over 500cc0cc and under0,Slight
169,M621,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle Motorcycle over 500cc0cc and under0,Slight
170,A168,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Serious
171,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Motorcycle Motorcycle over 500cc0cc to 12Motorcycle over 500cccc,Serious
