1st Road Class & No,Road Surface,Lighting Conditions,Weather Conditions,Type of Vehicle,Casualty Severity
U,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
A660,Dry,Darkness: Street lighting unknown,Fine without high winds,Pedal cycle,Slight
U,Wet/Damp,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
A65,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Slight
M621,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Slight
U,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Motorcycle Motorcycle over 500cc0cc to 12Motorcycle over 500cccc,Slight
U,Frost/Ice,Darkness: Street lights present and lit,Fine without high winds,Car,Serious
U,Dry,Daylight: Street lights present,Fine without high winds,Car,Serious
A653,Wet/Damp,Daylight: Street lights present,Fine without high winds,Motorcycle Motorcycle over 500cc0cc to 12Motorcycle over 500cccc,Slight
M621,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
A654,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Serious
A660,Dry,Darkness: Street lighting unknown,Fine without high winds,Pedal cycle,Slight
U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycleCar,Serious
A650,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
U,Dry,Darkness: Street lights present and lit,Fine without high winds,Pedal cycle,Slight
U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
M621,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
M621,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle Motorcycle over 500cc0cc and under0,Slight
M621,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle Motorcycle over 500cc0cc and under0,Slight
A168,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Serious
U,Dry,Darkness: Street lights present and lit,Fine without high winds,Motorcycle Motorcycle over 500cc0cc to 12Motorcycle over 500cccc,Serious
A650,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
